trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999998750000026}",25,0,-136.9228085049554,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-82.51534193882183,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999988750002109}",20,0,-197.37473965558536,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9999980000006666}",25,0,-98.91080245298473,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999968750016276}",25,0,-100.08757748621949,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-49.59034939647184,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999938750062526}",20,1,-78.2348521390797,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-186.7290614255667,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9999898750170859}",25,0,-188.29234961895307,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-137.12658693478554,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9999848750381276}",25,0,-98.78410821422227,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-159.48682052209267,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999788750743775}",20,0,-153.08957056653549,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-201.80642661729425,"{0: 9, 1: 6, 2: 0, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9999718751318357}",20,0,-135.75677143841946,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-143.36929910941552,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9999638752175021}",20,0,-58.34721190269042,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-99.39378839311021,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9999548753393765}",25,14,-69.92632379865599,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
