trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999998750000026}",20,0,-186.32567760457383,"{0: 7, 1: 7, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-97.56242003607387,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999988750002109}",25,0,-151.07341175503262,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-78.44562782328512,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999968750016276}",20,0,-164.15327445332608,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-177.01556717366063,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9999938750062526}",20,0,-185.7514787914323,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-245.861322130882,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.9999898750170859}",25,0,-102.39979243577145,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-176.05997259115153,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9999848750381276}",25,0,-178.20849226569968,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-62.15383746906184,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9999788750743775}",20,0,-164.0128640331675,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9999755001000415}",30,0,-128.70605364200952,"{0: 16, 1: 2, 2: 10, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9999718751318357}",20,0,-48.213473218035304,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9999680001706663}",20,0,-167.2228568838606,"{0: 7, 1: 4, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9999638752175021}",30,0,-188.8135181772709,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,8,-27.55128266162322,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9999548753393765}",20,7,-42.12140296370941,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-99.24219382811596,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-122.24263302745626,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,3,-124.76099767238951,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,-98.19870314871282,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-83.35868928581966,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-147.78191515665515,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-109.88808488525356,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-45.33880062788682,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-61.7886703637528,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-176.21465746665345,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-124.11335038071586,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
